rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
495,4.18,JURIX,2013,0,3,0,0,6,0,,Unfolding Crime Scenarios with Variations: A Method for Building a Bayesian Network for Legal Narratives,Charlotte S. Vlek; Henry Prakken; Silja Renooij; Bart Verheij,https://pure.rug.nl/ws/files/20112098/Jurix_Charlotte_Vlek_UnfoldingCrimeScenarioswithVariations.pdf,conf/jurix/VlekPRV13
496,4.18,JURIX,2022,0,3,0,0,6,0,,Can a Military Autonomous Device Follow International Humanitarian Law?,Tomasz Zurek; Mostafa Mohajeriparizi; Jonathan Kwik; Tom M. van Engers,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220479,conf/jurix/ZurekMKE22
497,4.14,JURIX,2008,0,3,0,0,5,0,,Legal Knowledge Representation: A Twofold Experience in the Domain of Intellectual Property Law,Giuseppe Contissa; Migle Laukyte,,conf/jurix/ContissaL08
498,4.13,ICAIL,1997,0,0,1,5,53,0,,Abstracting of Legal Cases: The SALOMON Experience,Marie-Francine Moens; Caroline Uyttendaele; Jos Dumortier,,conf/icail/MoensUD97
499,4.13,JURIX,2009,0,2,0,2,16,0,,Model Regularity of Legal Language in Active Modifications,Monica Palmirani; Raffaella Brighi,,conf/jurix/PalmiraniB09
500,4.11,ICAIL,2009,0,0,1,2,317,0,,"Argumentation mining: the detection, classification and structure of arguments in text",Raquel Mochales Palau; Marie-Francine Moens,https://lirias.kuleuven.be/handle/123456789/234784,conf/icail/PalauM09a
501,4.1,ICAIL,1997,0,1,1,1,16,0,,Automated Drafting of Self-Explaining Documents,Karl Branting; James C. Lester; Charles B. Callaway,https://dl.acm.org/doi/pdf/10.1145/261618.261635,conf/icail/BrantingLC97
502,4.09,DEON,1996,0,0,0,2,56,2,bounded-deontics,"A Modal Approach to Intentions, Commitments and Obligations: Intention plus Commitment Yields Obligation",Frank Dignum; John-Jules Ch. Meyer; Roel J. Wieringa; Ruurd Kuiper,https://ris.utwente.nl/ws/files/6139830/dignum96modal.pdf,conf/deon/DignumMWK96
503,4.08,ICAIL,2007,0,2,0,1,41,0,,"How to capture, model, and verify the knowledge of legal, security, and privacy experts: a pattern-based approach",Luca Compagna; Paul El Khoury; Fabio Massacci; Reshma Thomas; Nicola Zannone,,conf/icail/CompagnaKMTZ07
504,4.05,DEON,2004,0,2,0,2,12,0,,Delegation in a Role-Based Organization,Olga Pacheco; Filipe Santos,,conf/deon/PachecoS04
505,4.05,ICAIL,1987,0,0,1,5,41,0,,A Prolog Model of the Income Tax Act of Canada,D. M. Sherman,,conf/icail/Sherman87
506,4.03,ICAIL,2019,0,0,1,6,25,0,,Extracting the Gist of Chinese Judgments of the Supreme Court,Chao-Lin Liu; Kuan-Chun Chen,,conf/icail/LiuC19
507,4.02,ICAIL,1997,0,3,0,0,3,0,,"Legal Merit Arguments, Legal Semiotics and the Design of Legal Knowledge-Based Systems",James Palmer,https://dl.acm.org/doi/pdf/10.1145/261618.261653,conf/icail/Palmer97
508,4.02,ICAIL,2003,0,2,0,0,7,1,determinacy,Improving Legal Quality - an application report,Tom M. van Engers; Margherita R. Boekenoogen,,conf/icail/EngersB03
509,4.02,ICAIL,2009,0,3,0,0,3,0,,Matching Law Ontologies using an Extended Argumentation Framework based on Confidence Degrees,Cássia Trojahn dos Santos; Paulo Quaresma; Renata Vieira,,conf/icail/SantosQV09
510,4.0,DEON,1996,0,0,1,4,56,0,,"Indirect Action, Influence and Responsibility",Filipe Santos; José Carmo,,conf/deon/SantosC96
511,4.0,ICAIL,1993,0,0,1,6,22,0,,Knowing Documents,Marc Lauritsen,https://dl.acm.org/doi/pdf/10.1145/158976.159000,conf/icail/Lauritsen93
512,4.0,JURIX,2015,1,0,0,0,0,0,,Passing a USA National Bar Exam - a First Experiment,Biralatei Fawei; Adam Z. Wyner; Jeff Z. Pan,,conf/jurix/FaweiWP15
513,4.0,JURIX,2016,0,0,0,0,0,4,bounded-deontics|intro-executable,Describing Legal Policies as Story Tropes in Normative Systems,Matthew Thompson; Julian A. Padget; Ken Satoh,,conf/jurix/ThompsonPS16
